kolejka,sezon,data meczu,miejsce rozgrywania,tsp,rywal,wynik,strzelcy,rozgrywki,frekwencja
31,2006/07,23.05.2007,Bielsko-Biała,Podbeskidzie Bielsko-Biała,ŁKS Łomża,2-0,"Krzysztof Chrapek 20, 51",I liga,1 000
33,2006/07,03.06.2007,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Kmita Zabierzów,0-3,,I liga,1 500
34,2006/07,09.06.2007,Chorzów,Podbeskidzie Bielsko-Biała,Ruch Chorzów,0-4,,I liga,12 000
32,2006/07,,,Podbeskidzie Bielsko-Biała,Zawisza Bydgoszcz,3-0 wo,,I liga,
01,2007/08,28.07.2007,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Śląsk Wrocław,3-0,"Martin Matúš 8, Dariusz Kołodziej 52, Rafał Jarosz 85",I liga,3 000
02,2007/08,04.08.2007,Stalowa Wola,Podbeskidzie Bielsko-Biała,Stal Stalowa Wola,3-0,"Dariusz Kołodziej 4, Piotr Koman 28, Mariusz Sacha 89",I liga,2 000
03,2007/08,08.08.2007,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Arka Gdynia,0-1,,I liga,5 500
04,2007/08,11.08.2007,Turek,Podbeskidzie Bielsko-Biała,Tur Turek,0-0,,I liga,2 400
05,2007/08,18.08.2007,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Piast Gliwice,0-1,,I liga,3 500
06,2007/08,22.08.2007,Płock,Podbeskidzie Bielsko-Biała,Wisła Płock,2-3,"Sławomir Cienciała 14, Dariusz Kołodziej 44",I liga,2 500
07,2007/08,25.08.2007,Bielsko-Biała,Podbeskidzie Bielsko-Biała,GKS Jastrzębie,2-1,"Dariusz Kołodziej 20, Artur Jędrzejczyk 45 (s)",I liga,3 000
I runda,2007/08,29.08.2007,Nowy Sącz,Podbeskidzie Bielsko-Biała,Sandecja II Nowy Sącz,0-0 pd. k. 3-2,,Puchar Polski,800
08,2007/08,01.09.2007,Warszawa,Podbeskidzie Bielsko-Biała,Polonia Warszawa,2-0,"Dariusz Kołodziej 45, Juraj Dančík 62",I liga,1 800
09,2007/08,08.09.2007,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Odra Opole,1-0,Martin Matúš 14,I liga,2 500
10,2007/08,15.09.2007,Lublin,Podbeskidzie Bielsko-Biała,Motor Lublin,0-1,,I liga,
11,2007/08,19.09.2007,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Lechia Gdańsk,1-1,Mariusz Sacha 4,I liga,1 500
12,2007/08,23.09.2007,Poznań,Podbeskidzie Bielsko-Biała,Warta Poznań,2-0,"Mariusz Sacha 50, Paweł Żmudziński 86",I liga,1 000
13,2007/08,29.09.2007,Bielsko-Biała,Podbeskidzie Bielsko-Biała,ŁKS Łomża,2-0,"Krzysztof Chrapek 68, Dariusz Kołodziej 79",I liga,2 500
16,2007/08,03.10.2007,Bielsko-Biała,Podbeskidzie Bielsko-Biała,GKS Katowice,2-0,"Martin Matúš 2, Paweł Źmudziński 67",I liga,2 000
14,2007/08,06.10.2007,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Pelikan Łowicz,2-0,"Grzegorz Pater 58, Dariusz Kołodziej 68",I liga,2 500
15,2007/08,13.10.2007,Zabierzów,Podbeskidzie Bielsko-Biała,Kmita Zabierzów,1-1,Maciej Szmatiuk 90,I liga,400
17,2007/08,28.10.2007,Pruszków,Podbeskidzie Bielsko-Biała,Znicz Pruszków,0-0,,I liga,2 000
18,2007/08,03.11.2007,Wrocław,Podbeskidzie Bielsko-Biała,Śląsk Wrocław,0-2,,I liga,3 500
19,2007/08,10.11.2007,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Stal Stalowa Wola,0-1,,I liga,1 000
20,2007/08,08.03.2008,Gdynia,Podbeskidzie Bielsko-Biała,Arka Gdynia,2-3,"Dariusz Kołodziej 7, Paweł Żmudziński 50",I liga,9 000
21,2007/08,15.03.2008,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Tur Turek,2-0,"Martin Matúš 65, 84",I liga,3 500
22,2007/08,22.03.2008,Gliwice,Podbeskidzie Bielsko-Biała,Piast Gliwice,0-0,,I liga,4 000
23,2007/08,29.03.2008,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Wisła Płock,4-0,"Dariusz Kołodziej 8, 77, Martin Matúš 25, Paweł Żmudziński 68",I liga,2 500
24,2007/08,05.04.2008,Jastrzębie,Podbeskidzie Bielsko-Biała,GKS Jastrzębie,2-2,"Krzysztof Zaremba 75, Paweł Żmudziński 90",I liga,4 000
25,2007/08,12.04.2008,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Polonia Warszawa,1-0,Dariusz Kołodziej 76,I liga,3 500
26,2007/08,18.04.2008,Opole,Podbeskidzie Bielsko-Biała,Odra Opole,2-1,"Mariusz Sacha 50, 59",I liga,3 000
27,2007/08,26.04.2008,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Motor Lublin,3-0,"Dariusz Kołodziej 43, 90, Martin Matúš 50",I liga,3 500
28,2007/08,30.04.2008,Gdańsk,Podbeskidzie Bielsko-Biała,Lechia Gdańsk,2-4,"Paweł Żmudziński 15, Krzysztof Zaremba 70",I liga,9 000
29,2007/08,03.05.2008,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Warta Poznań,2-1,"Krzysztof Zaremba 71, 73",I liga,2 500
30,2007/08,07.05.2008,Łomża,Podbeskidzie Bielsko-Biała,ŁKS Łomża,1-1,Paweł Żmudziński 4,I liga,500
31,2007/08,11.05.2008,Łowicz,Podbeskidzie Bielsko-Biała,Pelikan Łowicz,3-1,"Rafał Jarosz 24, Krzysztof Chrapek 61, Martin Matúš 71",I liga,1 200
32,2007/08,17.05.2008,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Kmita Zabierzów,3-2,"Dariusz Kołodziej, Damian Świerblewski 5, Paweł Żmudziński 34",I liga,2 500
33,2007/08,21.05.2008,Katowice,Podbeskidzie Bielsko-Biała,GKS Katowice,2-0,"Mariusz Sacha 30, Martin Matúš 63",I liga,4 500
34,2007/08,24.05.2008,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Znicz Pruszków,1-0,Martin Matúš 82,I liga,3 500
01,2008/09,26.07.2008,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Wisła Płock,3-0 (wo) na boisku 1-0,Maciej Szmatiuk 56,I liga,3 000
02,2008/09,01.08.2008,Opole,Podbeskidzie Bielsko-Biała,Odra Opole,2-0,"Łukasz Matusiak 17, 45",I liga,3 000
03,2008/09,06.08.2008,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Warta Poznań,1-0,Paweł Żmudziński 19,I liga,3 500
04,2008/09,09.08.2008,Lublin,Podbeskidzie Bielsko-Biała,Motor Lublin,0-0,,I liga,1 000
05,2008/09,16.08.2008,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Korona Kielce,2-1,"Paweł Żmudziński 33, Damian Świerblewski 48",I liga,3 500
06,2008/09,22.08.2008,Polkowice,Podbeskidzie Bielsko-Biała,Zagłębie Lubin,1-3,Maciej Szmatiuk 61,I liga,4 000
I runda,2008/09,27.08.2008,Sanok,Podbeskidzie Bielsko-Biała,Stal Sanok,2-2 pd. k. 5-4,"Bartłomiej Konieczny 59, Adam Brzezina 83",I liga,800
07,2008/09,30.08.2008,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Flota Świnoujście,3-1,"Krzysztof Chrapek 77, 90, Martin Matúš 87",I liga,3 500
08,2008/09,03.09.2008,Nowy Dwór Mazowiecki,Podbeskidzie Bielsko-Biała,Dolcan Ząbki,1-0,Krzysztof Zaremba 82,I liga,200
09,2008/09,06.09.2008,Bielsko-Biała,Podbeskidzie Bielsko-Biała,GKP Gorzów Wielkopolski,0-0,,I liga,2 500
10,2008/09,15.09.2008,Łęczna,Podbeskidzie Bielsko-Biała,Górnik Łęczna,2-3,"Martin Matúš 20, Damian Świerblewski 27",I liga,1 500
11,2008/09,20.09.2008,Łódź,Podbeskidzie Bielsko-Biała,Widzew Łódź,0-1,,I liga,3 000
12,2008/09,27.09.2008,Stalowa Wola,Podbeskidzie Bielsko-Biała,Stal Stalowa Wola,2-1,"Martin Matúš 30, Łukasz Matusiak 81",I liga,2 500
13,2008/09,04.10.2008,Zabierzów,Podbeskidzie Bielsko-Biała,Kmita Zabierzów,0-0,,I liga,300
14,2008/09,08.10.2008,Czechowice-Dziedzice,Podbeskidzie Bielsko-Biała,GKS Jastrzębie,4-0,"Adam Brzezina 27, Krzystzof Chrapek 57, 87, Sebastian Ziajka 90",I liga,1 800
15,2008/09,12.10.2008,Turek,Podbeskidzie Bielsko-Biała,Tur Turek,1-2,Maciej Szmatiuk 60,I liga,2 000
16,2008/09,18.10.2008,Czechowice-Dziedzice,Podbeskidzie Bielsko-Biała,GKS Katowice,1-0,Bartłomiej Konieczny 28,I liga,2 000
17,2008/09,25.10.2008,Pruszków,Podbeskidzie Bielsko-Biała,Znicz Pruszków,1-2,Sławomir Cienciała 37,I liga,2 100
18,2008/09,09.11.2008,Płock,Podbeskidzie Bielsko-Biała,Wisła Płock,3-0,"Krzysztof Chrapek 3, 62, 66",I liga,3 000
19,2008/09,15.11.2008,Czechowice-Dziedzice,Podbeskidzie Bielsko-Biała,Odra Opole,2-0,"Krzysztof Chrapek 19, Mariusz Sacha 77",I liga,2 000
20,2008/09,14.03.2009,Poznań,Podbeskidzie Bielsko-Biała,Warta Poznań,1-2,Sławomir Cienciała 90,I liga,700
21,2008/09,21.03.2009,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Motor Lublin,0-0,,I liga,2 500
22,2008/09,27.03.2009,Kielce,Podbeskidzie Bielsko-Biała,Korona Kielce,2-2,"Paweł Żmudziński 39, Łukasz Matusiak 85",I liga,9 299
23,2008/09,04.04.2009,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Zagłębie Lubin,3-0,"Paweł Żmudziński 24, Krzysztof Chrapek 56, 66",I liga,4 000
24,2008/09,11.04.2009,Świnoujście ,Podbeskidzie Bielsko-Biała,Flota Świnoujście,0-2,,I liga,2 500
25,2008/09,18.04.2009,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Dolcan Ząbki,3-1,"Paweł Żmudziński 42, Martin Matúš 55, 77",I liga,2 800
26,2008/09,22.04.2009,Gorzów Wielkopolski,Podbeskidzie Bielsko-Biała,GKP Gorzów Wielkopolski,3-0,"Łukasz Matusiak 49, Sławomir Cienciała 62, Krzysztof Chrapek 82",I liga,1 500
27,2008/09,25.04.2009,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Górnik Łęczna,2-2,"Rafał Jarosz 5, Krzysztof Chrapek 83",I liga,2 500
28,2008/09,01.05.2009,Łódź,Podbeskidzie Bielsko-Biała,Widzew Łódź,0-3,,I liga,8 000
29,2008/09,09.05.2009,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Stal Stalowa Wola,3-0,"Sławomir Cienicała 36, Clemence Matawu 67, Krzysztof Chrapek 87",I liga,2 500
31,2008/09,16.05.2009,Jastrzębie,Podbeskidzie Bielsko-Biała,GKS Jastrzębie,2-2,"Łukasz Matusiak 25, Clemence Matawu 36",I liga,2 000
32,2008/09,23.05.2009,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Tur Turek,9-0,"Krzysztof Chrapek 13, 16, 45, 60, 70, Maciej Szmatiuk 37, Martin Matúš 61, Mieczysław Sikora 64, Damian Chmiel 80",I liga,3 000
33,2008/09,30.05.2009,Jaworzno,Podbeskidzie Bielsko-Biała,GKS Katowice,0-1,,I liga,2 500
34,2008/09,05.06.2009,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Znicz Pruszków,0-0,,I liga,3 500
30,2008/09,,,Podbeskidzie Bielsko-Biała,Kmita Zabierzów,3-0 (wo),,I liga,
01,2009/10,02.08.2009,Nowy Sącz,Podbeskidzie Bielsko-Biała,Sandecja Nowy Sącz,1-1,Damian  Świerblewski 43,I liga,4 000
02,2009/10,08.08.2009,Bielsko-Biała,Podbeskidzie Bielsko-Biała,MKS Kluczbork,1-1,Piotr Rocki 7,I liga,3 000
03,2009/10,15.08.2009,Szczecin,Podbeskidzie Bielsko-Biała,Pogoń Szczecin,2-2,"Sławomir Cienciała 45, Juraj Dančík 90",I liga,10 700
04,2009/10,22.08.2009,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Znicz Pruszków,1-1,Piotr Bagnicki 73,I liga,2 500
I runda,2009/10,26.08.2009,Otwock,Podbeskidzie Bielsko-Biała,Start Otwock,1-2,Clemence Matawu 44,Puchar Polski,800
05,2009/10,30.08.2009,Zabrze,Podbeskidzie Bielsko-Biała,Górnik Zabrze,0-1,,I liga,16 000
06,2009/10,02.09.2009,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Górnik Łęczna,2-2,"Damian Świerblewski 50, Damian Chmiel 90",I liga,3 200
07,2009/10,05.09.2009,Stalowa Wola,Podbeskidzie Bielsko-Biała,Stal Stalowa Wola,4-2,"Dariusz Kołodziej 45, 65, Sylwester Patejuk 70, Damian Świerblewski 78",I liga,1 500
08,2009/10,12.09.2009,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Łódzki KS,2-1,"Sylwester Patejuk 44, Martin Matúš 79",I liga,3 200
09,2009/10,16.09.2009,Poznań,Podbeskidzie Bielsko-Biała,Warta Poznań,1-4,Sylwester Patejuk 1,I liga,1 200
10,2009/10,19.09.2009,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Dolcan Ząbki,4-0,"Łukasz Kanik 2, Sylwester Patejuk 43, Clemence Matawu 67, Piotr Malinowski 82",I liga,2 800
11,2009/10,27.09.2009,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Widzew Łódź,0-1,,I liga,3 200
12,2009/10,30.09.2009,Bielsko-Biała,Podbeskidzie Bielsko-Biała,KSZO Ostrowiec Świętokrzyski,0-1,,I liga,1 800
13,2009/10,03.10.2009,Płock,Podbeskidzie Bielsko-Biała,Wisła Płock,1-1,Ndabenkulu Ncube 4,I liga,900
15,2009/10,17.10.2009,Gorzów Wielkopolski,Podbeskidzie Bielsko-Biała,GKP Gorzów Wielkopolski,2-1,"Dariusz Kołodziej 24, Piotr Bagnicki 90",I liga,1 500
16,2009/10,24.10.2009,Lublin,Podbeskidzie Bielsko-Biała,Motor Lublin,1-1,Sylwester Patejuk 81,I liga,700
17,2009/10,31.10.2009,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Flota Świnoujście,1-2,Piotr Bagnicki 43,I liga,1 500
14,2009/10,04.11.2009,Bielsko-Biała,Podbeskidzie Bielsko-Biała,GKS Katowice,1-3,Dariusz Kołodziej 34,I liga,1 200
18,2009/10,07.11.2009,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Sandecja Nowy Sącz,1-2,Piotr Malinowski 30,I liga,1 300
19,2009/10,11.11.2009,Kluczbork,Podbeskidzie Bielsko-Biała,MKS Kluczbork,3-1,"Piotr Bagnicki 69, Bartłomiej Konieczny 73, Piotr Rocki 84",I liga,1 500
20,2009/10,06.03.2010,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Pogoń Szczecin,0-0,,I liga,2 500
21,2009/10,14.03.2010,Pruszków,Podbeskidzie Bielsko-Biała,Znicz Pruszków,1-0,Piotr Bagnicki 87,I liga,800
22,2009/10,20.03.2010,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Górnik Zabrze,0-1,,I liga,3 200
23,2009/10,27.03.2010,Łęczna,Podbeskidzie Bielsko-Biała,Górnik Łęczna,0-2,,I liga,1 500
24,2009/10,03.04.2010,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Stal Stalowa Wola,2-2,"Sylwester Patejuk 70, Dariusz Kołodziej 83",I liga,1 500
27,2009/10,24.04.2010,Ząbki,Podbeskidzie Bielsko-Biała,Dolcan Ząbki,3-0,"Piotr Bagnicki 21, Clemence Matawu 35, Piotr Malinowski 55",I liga,350
25,2009/10,28.04.2010,Łódź,Podbeskidzie Bielsko-Biała,Łódzki KS,2-2,"Clemence Matawu 5, Dariusz Kołodziej",I liga,3 000
28,2009/10,01.05.2010,Łódź,Podbeskidzie Bielsko-Biała,Widzew Łódź,2-2,"Sylwester Patejuk 12, Dariusz Kołodziej 54",I liga,7 900
29,2009/10,08.05.2010,Ostrowiec Świętokrzyski,Podbeskidzie Bielsko-Biała,KSZO Ostrowiec Świętokrzyski,0-1,,I liga,1 300
26,2009/10,12.05.2010,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Warta Poznań,3-0,"Sylwester Patejuk 13, Tomasz Górkiewicz 42, Łukasz Matusiak 90",I liga,1 500
30,2009/10,15.05.2010,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Wisła Płock,0-0,,I liga,2 000
31,2009/10,22.05.2010,Katowice,Podbeskidzie Bielsko-Biała,GKS Katowice,1-0,Ndabenkulu Ncube 35,I liga,2 000
32,2009/10,26.05.2010,Bielsko-Biała,Podbeskidzie Bielsko-Biała,GKP Gorzów Wielkopolski,0-0,,I liga,1 500
33,2009/10,01.06.2010,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Motor Lublin,0-0,,I liga,2 000
34,2009/10,05.06.2010,Świnoujście,Podbeskidzie Bielsko-Biała,Flota Świnoujście,3-0,"Sylwester Patejuk 18, 64, Tomasz Górkiewicz 59",I liga,1 328
01,2010/11,01.08.2010,Stróże,Podbeskidzie Bielsko-Biała,Kolejarz Stróże,1-1,Michał Osiński 73,I liga,1 300
02,2010/11,07.08.2010,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Górnik Polkowice,2-0,"Róbert Demjan 13, 66",I liga,2 500
03,2010/11,15.08.2010,Nieciecza,Podbeskidzie Bielsko-Biała,Bruk-Bet Termalica Nieciecza,5-0,"Maciej Rogalski 47, Adam Cieśliński 61, Sławomir Cienciała 77, Róbert Demjan 87, Sylwester Patejuk 90",I liga,1 700
04,2010/11,20.08.2010,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Odra Wodzisław Śląski,1-0,Michał Buchalik 31 (s),I liga,3 500
I runda,2010/11,25.08.2010,Otwock,Podbeskidzie Bielsko-Biała,Start Otwock,2-2 pd. k. 6-5,"Mateusz Żyła 66, Mariusz Mikoda 114",Puchar Polski,400
05,2010/11,28.08.2010,Katowice,Podbeskidzie Bielsko-Biała,GKS Katowice,6-1,"Bartłomiej Konieczny 4, Maciej Rogalski 24, Sebastian Ziajka 45, Róbert Demjan 50, Piotr Koman 68, Gabriel Nowak 80 (s)",I liga,2 500
06,2010/11,04.09.2010,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Łódzki KS,1-1,Adam Cieśliński 24,I liga,3 200
07,2010/11,11.09.2010,Ostrowiec Świętokrzyski,Podbeskidzie Bielsko-Biała,KSZO Ostrowiec Świętokrzyski,2-1,"Adam Cieśliński 76, Juraj Dančík 79",I liga,1 000
08,2010/11,18.09.2010,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Flota Świnoujście,2-1,"Adam Cieśliński 55, 66",I liga,3 300
1/16 finału,2010/11,22.09.2010,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Piast Gliwice,2-0,"Sylwester Patejuk 76, Michał Osiński 88",Puchar Polski,2 000
09,2010/11,26.09.2010,Szczecin,Podbeskidzie Bielsko-Biała,Pogoń Szczecin,3-1,"Adam Cieśliński 3, Róbert Demjan 8, 90",I liga,4 000
10,2010/11,02.10.2010,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Dolcan Ząbki,2-0,"Adam Cieśliński 75, Piotr Malinowski 83",I liga,3 300
11,2010/11,10.10.2010,Wodzisław Śląski,Podbeskidzie Bielsko-Biała,Piast Gliwice,1-2,Róbert Demjan 17,I liga,1 500
12,2010/11,16.10.2010,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Warta Poznań,2-0,"Adam Cieśliński 36, 30",I liga,2 300
13,2010/11,23.10.2010,Łęczna,Podbeskidzie Bielsko-Biała,Górnik Łęczna,0-1,,I liga,1 300
1/8 finału,2010/11,26.10.2010,Bielsko-Biała,Podbeskidzie Bielsko-Biała,GKS Bełchatów,2-0,"Sylwester Patejuk 2, Róbert Demjan 32",Puchar Polski,1 500
14,2010/11,30.10.2010,Nowy Sącz,Podbeskidzie Bielsko-Biała,Sandecja Nowy Sącz,1-0,Sylwester Patejuk 39,I liga,5 000
15,2010/11,06.11.2010,BIelsko-Biała,Podbeskidzie Bielsko-Biała,MKS Kluczbork,1-0,Adam Cieśliński 60,I liga,2 800
16,2010/11,13.11.2010,Gorzów Wielkopolski,Podbeskidzie Bielsko-Biała,GKP Gorzów Wielkopolski,1-1,Róbert Demjan 68,I liga,500
17,2010/11,19.11.2010,BIelsko-Biała,Podbeskidzie Bielsko-Biała,Ruch Radzionków,2-1,"Piotr Koman 62, Maciej Rogalski 87",I liga,3 000
ćwierćfinał,2010/11,01.03.2011,Kraków,Podbeskidzie Bielsko-Biała,Wisła Kraków,1-0,Piotr Malinowski 88,Puchar Polski,8 000
18,2010/11,05.03.2011,BIelsko-Biała,Podbeskidzie Bielsko-Biała,Kolejarz Stróże,2-0,"Witold Cichy 27 (s), Adam Cieśliński 40",I liga,3 000
19,2010/11,12.03.2011,Polkowice,Podbeskidzie Bielsko-Biała,Górnik Polkowice,0-1,,I liga,700
ćwierćfinał,2010/11,16.03.2011,BIelsko-Biała,Podbeskidzie Bielsko-Biała,Wisła Kraków,2-2,"Adam Cieśliński 59, Tomasz Górkiewicz 75",Puchar Polski,3 200
20,2010/11,19.03.2011,BIelsko-Biała,Podbeskidzie Bielsko-Biała,Bruk-Bet Termalica Nieciecza,0-0,,I liga,2 800
21,2010/11,26.03.2011,Wodzisław Śląski,Podbeskidzie Bielsko-Biała,Odra Wodzisław Śląski,2-1,"Dariusz Kołodziej 72, 78",I liga,850
22,2010/11,02.04.2011,BIelsko-Biała,Podbeskidzie Bielsko-Biała,GKS Katowice,2-0,"Sylwester Patejuk 12, Sebastian Ziajka 85",I liga,2 900
półfinał,2010/11,05.04.2011,Poznań,Podbeskidzie Bielsko-Biała,Lech Poznań,1-1,Adam Cieśliński 90,Puchar Polski,15 500
23,2010/11,10.04.2011,Łódź,Podbeskidzie Bielsko-Biała,Łódzki KS,0-0,,I liga,6 684
24,2010/11,15.04.2011,BIelsko-Biała,Podbeskidzie Bielsko-Biała,KSZO Ostrowiec Świętokrzyski,0-0,,I liga,2 800
półfinał,2010/11,19.04.2011,BIelsko-Biała,Podbeskidzie Bielsko-Biała,Lech Poznań,2-3,"Damian Chmiel 25, Piotr Malinowski 58",Puchar Polski,4 200
25,2010/11,22.04.2011,Świnoujście,Podbeskidzie Bielsko-Biała,Flota Świnoujście,1-1,Krzysztof Zaremba 90,I liga,1 800
26,2010/11,30.04.2011,BIelsko-Biała,Podbeskidzie Bielsko-Biała,Pogoń Szczecin,2-1,"Róbert Demjan 31, Piotr Malinowski 72",I liga,3 200
27,2010/11,08.05.2011,Ząbki,Podbeskidzie Bielsko-Biała,Dolcan Ząbki,0-2,,I liga,600
28,2010/11,11.05.2011,BIelsko-Biała,Podbeskidzie Bielsko-Biała,Piast Gliwice,0-0,,I liga,3 500
29,2010/11,15.05.2011,Poznań,Podbeskidzie Bielsko-Biała,Warta Poznań,1-1,Sylwester Patejuk 83,I liga,14 000
30,2010/11,21.05.2011,BIelsko-Biała,Podbeskidzie Bielsko-Biała,Górnik Łęczna,3-1,"Michał Osiński 6, Marek Sokołowski 72, Damian Chmiel 83",I liga,3 000
31,2010/11,25.05.2011,BIelsko-Biała,Podbeskidzie Bielsko-Biała,Sandecja Nowy Sącz,2-0,"Juraj Dančík 18, Sylwester Patejuk 42",I liga,4 000
32,2010/11,28.05.2011,Kluczbork,Podbeskidzie Bielsko-Biała,MKS Kluczbork,2-1,"Piotr Malinowski 25, Adam Cieśliński 49",I liga,1 000
34,2010/11,11.06.2011,Radzionków,Podbeskidzie Bielsko-Biała,Ruch Radzionków,0-3,,I liga,800
33,2010/11,,,Podbeskidzie Bielsko-Biała,GKP Gorzów Wielkopolski,3-0 (wo),,I liga,
01,2011/12,01.08.2011,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Jagiellonia Białystok,2-2,"Róbert Demjan 82, Adam Cieśliński 89",Ekstraklasa,3 969
02,2011/12,06.08.2011,Bełchatów,Podbeskidzie Bielsko-Biała,GKS Bełchatów,0-6,,Ekstraklasa,1 600
03,2011/12,14.08.2011,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Widzew Łódź,0-0,,Ekstraklasa,3 500
04,2011/12,19.08.2011,Lubin,Podbeskidzie Bielsko-Biała,Zagłębie Lubin,0-0,,Ekstraklasa,6 128
I runda,2011/12,23.08.2011,Boguchwała,Podbeskidzie Bielsko-Biała,Resovia,3-1,"Piotr Koman 21, Sylwester Patejuk 58, Sebastian Ziajka 77",Puchar Polski,900
05,2011/12,27.08.2011,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Korona Kielce,2-3,"Bartłomiej Konieczny 53, Róbert Demjan 80",Ekstraklasa,3 284
06,2011/12,10.09.2011,Warszawa,Podbeskidzie Bielsko-Biała,Legia Warszawa,2-1,"Tomasz Górkiewicz 24, Sylwester Patejuk 45",Ekstraklasa,18 500
07,2011/12,17.09.2011,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Ruch Chorzów,0-1,,Ekstraklasa,3 350
08,2011/12,23.09.2011,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Lechia Gdańsk,1-0,Piotr Malinowski 70,Ekstraklasa,3 000
1/16 finału,2011/12,27.09.2011,Bielsko-Biała,Podbeskidzie Bielsko-Biała,GKS Bełchatów,3-0,"Piotr Malinowski 3, Róbert Demjan 42, Mariusz Sacha 44",Puchar Polski,2 700
09,2011/12,30.09.2011,Łódź,Podbeskidzie Bielsko-Biała,Łódzki KS,1-2,Róbert Demjan 48,Ekstraklasa,3 550
10,2011/12,14.10.2011,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Cracovia,1-0,Sylwester Patejuk 66,Ekstraklasa,3 450
1/8 finału,2011/12,18.10.2011,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Śląsk Wrocław,0-1,,Puchar Polski,2 500
11,2011/12,22.10.2011,Wrocław,Podbeskidzie Bielsko-Biała,Śląsk Wrocław,0-1,,Ekstraklasa,7 100
12,2011/12,29.10.2011,Kraków,Podbeskidzie Bielsko-Biała,Wisła Kraków,1-0,Juraj Dančík 26,Ekstraklasa,13 620
13,2011/12,04.11.2011,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Górnik Zabrze,1-1,Adam Cieśliński 80,Ekstraklasa,3 800
14,2011/12,21.11.2011,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Lech Poznań,0-0,,Ekstraklasa,4 200
15,2011/12,25.11.2011,Warszawa,Podbeskidzie Bielsko-Biała,Polonia Warszawa,1-2,Mariusz Sacha 3,Ekstraklasa,3 000
16,2011/12,03.12.2011,Białystok,Podbeskidzie Bielsko-Biała,Jagiellonia Białystok,2-0,"Sebastian Ziajka 34, Mariusz Sacha 56",Ekstraklasa,3 724
17,2011/12,09.12.2011,Bielsko-Biała,Podbeskidzie Bielsko-Biała,GKS Bełchatów,1-0,Sebastian Ziajka 57,Ekstraklasa,3 100
18,2011/12,18.02.2012,Łódź,Podbeskidzie Bielsko-Biała,Widzew Łódź,1-0,Sylwester Patejuk 67,Ekstraklasa,4 500
19,2011/12,25.02.2012,Bielsko-Biała,Podbeskidzie Bielsko-Biała,Zagłębie Lubin,1-0,Sebastian Ziajka 32,Ekstraklasa,3 000
20,2011/12,02.03.2012,Kielce,Podbeskidzie Bielsko-Biała,Korona Kielce,0-2,,Ekstraklasa,6 372
